student_IDs,preference
unlightened_ferret,"Chocolate, Strawberry, Pistachio"
unaccepted_indianspinyloach,"Vanilla, Fudge, Strawberry"
horrendous_martin,"Vanilla, Strawberry, Pistachio"
diamantiferous_tapaculo,"Vanilla, Rocky Road, Strawberry"
gnatty_indianhare,"Vanilla, Rocky Road, Pistachio"
unfrightening_tick,"Vanilla, Strawberry, Fudge"
able_isabellineshrike,"Vanilla, Strawberry, Mocha"
terroristic_americanratsnake,"Vanilla, Pistachio, Strawberry"
decidophobic_rhea,"Vanilla, Pistachio, Strawberry"
honeysweet_avocet,"Vanilla, Strawberry, Pistachio"
antioptimistic_cicada,"Vanilla, Fudge, Mocha"
middleclass_banteng,"Chocolate, Rocky Road, Mocha"
watchful_goldfinch,"Chocolate, Pistachio, Strawberry"
sharpset_jumpingbean,"Chocolate, Rocky Road, Fudge"
gerascophobic_maltesedog,"Vanilla, Pistachio, Strawberry"
subpentagonal_nabarlek,"Chocolate, Rocky Road, Pistachio"
arboricultural_bluewhale,"Vanilla, Rocky Road, Fudge"
webby_mollusk,"Vanilla, Fudge, Pistachio"
interartistic_brahmancow,"Vanilla, Rocky Road, Mocha"
hypersaintly_lark,"Vanilla, Rocky Road, Mocha"
uncivic_anglerfish,"Vanilla, Rocky Road, Strawberry"
facile_seaslug,"Vanilla, Rocky Road, Mocha"
chorographical_creature,"Vanilla, Mocha, Rocky Road"
refractional_hartebeest,"Vanilla, Pistachio, Strawberry"
doomed_wireworm,"Chocolate, Fudge, Pistachio"
likely_indianjackal,"Chocolate, Pistachio, Strawberry"
nonglacial_africanclawedfrog,"Vanilla, Mocha, Pistachio"
metamorphous_nag,"Vanilla, Rocky Road, Pistachio"
uptight_appaloosa,"Chocolate, Rocky Road, Mocha"
nonblack_coqui,"Vanilla, Strawberry, Pistachio"
scorpaenoid_inganue,"Chocolate, Rocky Road, Fudge"
grisly_amurratsnake,"Vanilla, Mocha, Strawberry"
grave_dogwoodtwigborer,"Chocolate, Mocha, Fudge"
cinematic_prairiedog,"Vanilla, Pistachio, Fudge"
ethological_cur,"Vanilla, Strawberry, Mocha"
materialistic_degus,"Chocolate, Mocha, Pistachio"
tigerseye_giraffe,"Chocolate, Fudge, Pistachio"
previgilant_marabou,"Vanilla, Strawberry, Pistachio"
snowcapped_hamadryad,"Chocolate, Strawberry, Fudge"
snappy_astarte,"Vanilla, Strawberry, Pistachio"
suspicious_queenconch,"Vanilla, Fudge, Rocky Road"
gorgeable_urchin,"Vanilla, Rocky Road, Pistachio"
saddening_mongoose,"Vanilla, Rocky Road, Pistachio"
plutonium_beardeddragon,"Chocolate, Mocha, Pistachio"
uninteresting_baboon,"Vanilla, Fudge, Rocky Road"
armoured_adamsstaghornedbeetle,"Vanilla, Pistachio, Mocha"
weighted_beetle,"Vanilla, Fudge, Pistachio"
unwashed_cockatoo,"Vanilla, Strawberry, Rocky Road"
runtish_silverfox,"Chocolate, Strawberry, Fudge"
ruddy_iguanodon,"Vanilla, Fudge, Strawberry"
sibling_kangaroo,"Chocolate, Pistachio, Mocha"
carbasus_watussi,"Chocolate, Pistachio, Strawberry"
entire_monoclonius,"Vanilla, Mocha, Strawberry"
carping_civet,"Chocolate, Fudge, Mocha"
curved_goral,"Chocolate, Strawberry, Rocky Road"
clay_springtail,"Vanilla, Fudge, Mocha"
abiotic_rhinocerosbeetle,"Vanilla, Mocha, Strawberry"
flaming_quagga,"Chocolate, Fudge, Strawberry"
nonfireproof_dikdik,"Vanilla, Pistachio, Rocky Road"
independent_swallow,"Chocolate, Mocha, Fudge"
nonsolicitous_chimpanzee,"Vanilla, Strawberry, Pistachio"
antimonarchistic_hapuka,"Chocolate, Fudge, Strawberry"
stegophilic_asianconstablebutterfly,"Vanilla, Rocky Road, Strawberry"
ultrafaultless_stag,"Vanilla, Pistachio, Fudge"
einsteinium_ekaltadeta,"Chocolate, Strawberry, Fudge"
azure_africanporcupine,"Vanilla, Pistachio, Strawberry"
festive_zenaida,"Vanilla, Fudge, Pistachio"
uncalorific_cub,"Chocolate, Fudge, Rocky Road"
semipolitical_tapaculo,"Vanilla, Pistachio, Mocha"
quartz_wrasse,"Vanilla, Fudge, Pistachio"
superluxurious_noolbenger,"Chocolate, Pistachio, Mocha"
artless_mamba,"Chocolate, Mocha, Rocky Road"
pugnacious_kestrel,"Vanilla, Strawberry, Mocha"
followable_quahog,"Vanilla, Rocky Road, Strawberry"
responsive_massasauga,"Chocolate, Strawberry, Rocky Road"
vertical_pacificparrotlet,"Vanilla, Mocha, Rocky Road"
nonmagnetic_loon,"Vanilla, Pistachio, Mocha"
bland_fossa,"Chocolate, Mocha, Pistachio"
balneological_muskox,"Vanilla, Pistachio, Mocha"
inappropriate_attwatersprairiechicken,"Chocolate, Fudge, Pistachio"
freakish_vulpesvulpes,"Vanilla, Rocky Road, Strawberry"
impolite_indianskimmer,"Vanilla, Fudge, Pistachio"
inextinguishable_metamorphosis,"Chocolate, Mocha, Fudge"
clippable_africanrockpython,"Chocolate, Pistachio, Mocha"
wood_irukandjijellyfish,"Vanilla, Rocky Road, Fudge"
controversial_xrayfish,"Chocolate, Fudge, Pistachio"
commonsensible_americancrow,"Chocolate, Pistachio, Mocha"
interspinal_sanderling,"Chocolate, Strawberry, Rocky Road"
lawlike_dragon,"Chocolate, Strawberry, Fudge"
nonpsychoanalytical_velvetworm,"Chocolate, Rocky Road, Pistachio"
godless_avocet,"Vanilla, Fudge, Mocha"
hyperintelligent_bufflehead,"Vanilla, Pistachio, Mocha"
probable_kronosaurus,"Vanilla, Strawberry, Fudge"
immobile_horse,"Vanilla, Strawberry, Fudge"
existential_reptile,"Vanilla, Pistachio, Fudge"
quasipolitical_peccary,"Vanilla, Fudge, Pistachio"
dodecasyllabic_grouse,"Chocolate, Fudge, Mocha"
discretional_springtail,"Chocolate, Pistachio, Fudge"
supportive_wreckfish,"Vanilla, Fudge, Rocky Road"
corporative_wuerhosaurus,"Vanilla, Mocha, Strawberry"
unfashionable_pekingese,"Vanilla, Fudge, Pistachio"
snugging_nag,"Vanilla, Mocha, Pistachio"
unacidic_zopilote,"Chocolate, Pistachio, Mocha"
straightforward_tegus,"Chocolate, Rocky Road, Fudge"
antagonisable_americancreamdraft,"Chocolate, Fudge, Rocky Road"
checked_wireworm,"Vanilla, Fudge, Mocha"
sunny_oropendola,"Vanilla, Pistachio, Rocky Road"
shady_jaguar,"Chocolate, Fudge, Mocha"
molybdenite_leech,"Chocolate, Fudge, Rocky Road"
paranormal_bengaltiger,"Vanilla, Fudge, Mocha"
southeastward_harvestmouse,"Chocolate, Mocha, Rocky Road"
wieldy_icelandgull,"Vanilla, Pistachio, Fudge"
arid_cub,"Vanilla, Mocha, Strawberry"
framable_rabbit,"Vanilla, Fudge, Strawberry"
disingenuous_snowmonkey,"Chocolate, Strawberry, Rocky Road"
coverable_fanworms,"Vanilla, Mocha, Pistachio"
goodtempered_eastsiberianlaika,"Chocolate, Rocky Road, Mocha"
meagre_cero,"Vanilla, Rocky Road, Strawberry"
snowcapped_boar,"Chocolate, Rocky Road, Fudge"
bottlegreen_sableantelope,"Vanilla, Strawberry, Fudge"
velour_asianporcupine,"Vanilla, Fudge, Pistachio"
highclass_snowleopard,"Vanilla, Mocha, Strawberry"
venomous_serval,"Chocolate, Rocky Road, Mocha"
unpsychopathic_frilledlizard,"Vanilla, Rocky Road, Strawberry"
unthanking_woodstorks,"Chocolate, Rocky Road, Mocha"
endocrinopathic_curassow,"Vanilla, Pistachio, Fudge"
wellknown_gemsbuck,"Vanilla, Mocha, Strawberry"
enjambed_lynx,"Chocolate, Strawberry, Rocky Road"
apprehensive_marbledmurrelet,"Chocolate, Rocky Road, Fudge"
prodemocrat_hog,"Vanilla, Strawberry, Mocha"
highbred_urchin,"Chocolate, Pistachio, Strawberry"
uncrystalled_tomtit,"Vanilla, Pistachio, Fudge"
protactium_giraffe,"Vanilla, Rocky Road, Fudge"
earthbound_dikkops,"Chocolate, Strawberry, Fudge"
revengeful_megaraptor,"Chocolate, Rocky Road, Strawberry"
affirmative_abalone,"Vanilla, Fudge, Rocky Road"
extravertive_iberianbarbel,"Vanilla, Rocky Road, Pistachio"
semitheatrical_koi,"Chocolate, Fudge, Mocha"
glass_inexpectatumpleco,"Vanilla, Rocky Road, Fudge"
tacky_salmon,"Vanilla, Pistachio, Mocha"
patronal_axisdeer,"Chocolate, Pistachio, Mocha"
gnarly_americanmarten,"Vanilla, Mocha, Pistachio"
blamable_jackrabbit,"Chocolate, Mocha, Rocky Road"
unlightened_nematode,"Chocolate, Strawberry, Mocha"
ironical_sidewinder,"Chocolate, Strawberry, Rocky Road"
subpyramidal_baldeagle,"Vanilla, Pistachio, Fudge"
nondemocratic_azurevasesponge,"Chocolate, Mocha, Rocky Road"
bacciform_antelope,"Vanilla, Fudge, Pistachio"
abducent_gecko,"Chocolate, Strawberry, Rocky Road"
electrocardiographic_spoonbill,"Vanilla, Mocha, Fudge"
coldblooded_kite,"Vanilla, Mocha, Strawberry"
unarmed_hagfish,"Chocolate, Strawberry, Mocha"
acidophobic_purplemarten,"Chocolate, Mocha, Strawberry"
crusty_tapir,"Vanilla, Pistachio, Strawberry"
smileless_diamondbackrattlesnake,"Chocolate, Fudge, Rocky Road"
cretaceous_camel,"Vanilla, Fudge, Rocky Road"
chorographical_krill,"Vanilla, Strawberry, Pistachio"
especial_bordercollie,"Vanilla, Pistachio, Strawberry"
lacquerware_abyssiniancat,"Chocolate, Pistachio, Mocha"
pubescent_parakeet,"Vanilla, Rocky Road, Fudge"
farsighted_archaeocete,"Chocolate, Strawberry, Rocky Road"
frosty_ibex,"Chocolate, Pistachio, Fudge"
uncategorised_zeren,"Vanilla, Rocky Road, Strawberry"
literal_kinkajou,"Vanilla, Mocha, Pistachio"
wellpoliced_dormouse,"Vanilla, Rocky Road, Mocha"
paleopsychological_wreckfish,"Vanilla, Mocha, Strawberry"
overluxurious_bats,"Vanilla, Pistachio, Strawberry"
ready_drever,"Chocolate, Rocky Road, Strawberry"
pseudoscholastic_eel,"Chocolate, Fudge, Rocky Road"
convectional_alpaca,"Vanilla, Pistachio, Rocky Road"
disliked_amethystgemclam,"Chocolate, Fudge, Rocky Road"
unaroused_redstart,"Vanilla, Fudge, Rocky Road"
caffeinated_arieltoucan,"Chocolate, Strawberry, Pistachio"
fungal_tarsier,"Vanilla, Strawberry, Fudge"
capitalist_rainbowfish,"Chocolate, Mocha, Fudge"
unrefrigerated_asiaticmouflon,"Chocolate, Rocky Road, Fudge"
curmudgeonly_asiandamselfly,"Vanilla, Rocky Road, Fudge"
loveable_mare,"Vanilla, Pistachio, Mocha"
addlebrained_chickadee,"Chocolate, Pistachio, Rocky Road"
florid_walkingstick,"Vanilla, Strawberry, Rocky Road"
companionable_cassowary,"Vanilla, Mocha, Pistachio"
crass_waterbuck,"Chocolate, Fudge, Mocha"
uncongested_kingsnake,"Chocolate, Strawberry, Pistachio"
distractible_bichonfrise,"Vanilla, Strawberry, Rocky Road"
ferreous_cock,"Vanilla, Rocky Road, Pistachio"
petit_shelduck,"Vanilla, Pistachio, Rocky Road"
genuine_ptarmigan,"Chocolate, Strawberry, Rocky Road"
bloated_hamadryas,"Vanilla, Strawberry, Pistachio"
hydrometallurgical_bushsqueaker,"Vanilla, Rocky Road, Fudge"
rosy_bee,"Vanilla, Pistachio, Mocha"
enharmonic_indianabat,"Vanilla, Rocky Road, Mocha"
interlibrary_katydid,"Vanilla, Rocky Road, Mocha"
precrystalline_hapuku,"Vanilla, Rocky Road, Mocha"
tangled_egg,"Vanilla, Strawberry, Mocha"
shapable_xenops,"Chocolate, Rocky Road, Strawberry"
undenominated_galapagoshawk,"Vanilla, Pistachio, Mocha"
trisyllabic_tick,"Chocolate, Pistachio, Rocky Road"
irresponsible_flycatcher,"Chocolate, Pistachio, Rocky Road"
uncrystalline_aidi,"Chocolate, Rocky Road, Fudge"
zinnwaldite_hummingbird,"Vanilla, Rocky Road, Mocha"
soaplike_americanbobtail,"Vanilla, Rocky Road, Mocha"
diamantine_americancicada,"Vanilla, Rocky Road, Pistachio"
pseudoconservative_mockingbird,"Chocolate, Mocha, Fudge"
establishmentarian_crownofthornsstarfish,"Chocolate, Fudge, Strawberry"
fun_yearling,"Vanilla, Rocky Road, Strawberry"
baryte_molly,"Vanilla, Rocky Road, Mocha"
banal_yellowbellylizard,"Chocolate, Pistachio, Fudge"
smoothtongued_neonrainbowfish,"Chocolate, Rocky Road, Mocha"
ignorant_xenops,"Vanilla, Strawberry, Fudge"
fruited_bird,"Vanilla, Strawberry, Pistachio"
undercoloured_azurevase,"Chocolate, Pistachio, Rocky Road"
average_sow,"Chocolate, Mocha, Pistachio"
neutered_hedgehog,"Chocolate, Pistachio, Strawberry"
sublimational_snowmonkey,"Vanilla, Mocha, Fudge"
subtriangular_jenny,"Chocolate, Rocky Road, Fudge"
feral_hermitcrab,"Vanilla, Fudge, Pistachio"
roguish_lowchen,"Chocolate, Fudge, Mocha"
pisciform_gyrfalcon,"Vanilla, Fudge, Mocha"
chorographic_yellowlegs,"Chocolate, Mocha, Strawberry"
blackcoated_buzzard,"Vanilla, Mocha, Pistachio"
stainable_sulphurbutterfly,"Chocolate, Strawberry, Pistachio"
usual_sow,"Vanilla, Fudge, Pistachio"
acute_greyhounddog,"Chocolate, Fudge, Mocha"
dicey_zanzibardaygecko,"Vanilla, Pistachio, Fudge"
feudalist_seabird,"Chocolate, Strawberry, Pistachio"
sick_hylaeosaurus,"Chocolate, Mocha, Rocky Road"
front_leafcutterant,"Vanilla, Fudge, Mocha"
miserly_loggerheadturtle,"Vanilla, Strawberry, Rocky Road"
cobwebby_guppy,"Vanilla, Fudge, Strawberry"
dotted_alaskanmalamute,"Vanilla, Rocky Road, Strawberry"
definable_quinquespinosus,"Chocolate, Strawberry, Mocha"
cataclysmic_sunbear,"Vanilla, Strawberry, Rocky Road"
unkempt_lamprey,"Chocolate, Strawberry, Fudge"
captivative_waterboatman,"Chocolate, Rocky Road, Fudge"
lead_bat,"Vanilla, Rocky Road, Mocha"
unimaginative_ilsamochadegu,"Vanilla, Rocky Road, Pistachio"
unpolitical_bufflehead,"Vanilla, Strawberry, Fudge"
obese_dowitcher,"Vanilla, Strawberry, Mocha"
tonguetied_barebirdbat,"Chocolate, Strawberry, Rocky Road"
extroverted_bandicoot,"Chocolate, Mocha, Fudge"
scotophobic_polecat,"Chocolate, Pistachio, Mocha"
voodooistic_hake,"Chocolate, Fudge, Pistachio"
coseys_blacklemur,"Vanilla, Pistachio, Rocky Road"
sensitive_dinosaur,"Chocolate, Strawberry, Rocky Road"
ununbium_herring,"Vanilla, Strawberry, Pistachio"
audiophilic_aztecant,"Chocolate, Rocky Road, Strawberry"
disgraceful_aquaticleech,"Chocolate, Mocha, Rocky Road"
aforementioned_hapuku,"Chocolate, Strawberry, Rocky Road"
antipestilential_catbird,"Chocolate, Fudge, Rocky Road"
crystalline_imperatorangel,"Vanilla, Fudge, Mocha"
shapeable_flyingfox,"Chocolate, Strawberry, Pistachio"
gynephilic_xuanhuasaurus,"Vanilla, Rocky Road, Mocha"
coyish_islandwhistler,"Chocolate, Rocky Road, Strawberry"
countrified_rhinoceros,"Chocolate, Mocha, Strawberry"
wicked_easternnewt,"Vanilla, Mocha, Strawberry"
half_nightingale,"Vanilla, Mocha, Strawberry"
heretical_hyena,"Vanilla, Strawberry, Mocha"
shadowed_teal,"Vanilla, Mocha, Pistachio"
bioecological_arabianhorse,"Chocolate, Pistachio, Fudge"
overjoyed_phoenix,"Chocolate, Pistachio, Strawberry"
fermentable_duckbillplatypus,"Chocolate, Fudge, Rocky Road"
nutlike_finch,"Vanilla, Mocha, Rocky Road"
dynamic_germanshorthairedpointer,"Chocolate, Pistachio, Strawberry"
delighted_finch,"Vanilla, Strawberry, Mocha"
silvery_harrier,"Chocolate, Rocky Road, Mocha"
polar_andalusianhorse,"Vanilla, Fudge, Pistachio"
semiparalyzed_anglerfish,"Chocolate, Rocky Road, Pistachio"
effaceable_southernhairnosedwombat,"Chocolate, Rocky Road, Pistachio"
late_goitered,"Vanilla, Fudge, Strawberry"
angstridden_wrasse,"Chocolate, Strawberry, Fudge"
ecological_antelopegroundsquirrel,"Chocolate, Mocha, Rocky Road"
expeditionary_indochinahogdeer,"Chocolate, Mocha, Pistachio"
monumental_englishpointer,"Chocolate, Fudge, Rocky Road"
reclining_imago,"Chocolate, Rocky Road, Mocha"
diplocardiac_bobwhite,"Vanilla, Strawberry, Fudge"
ellipsoidal_peafowl,"Chocolate, Mocha, Fudge"
efficacious_dorado,"Chocolate, Strawberry, Rocky Road"
reserved_archerfish,"Chocolate, Pistachio, Rocky Road"
resalable_tragopan,"Vanilla, Fudge, Rocky Road"
statistical_cuckoo,"Vanilla, Mocha, Strawberry"
paragonita_ungulate,"Vanilla, Mocha, Rocky Road"
unconstitutional_elephantbeetle,"Chocolate, Pistachio, Mocha"
interlibrary_crocodile,"Vanilla, Strawberry, Rocky Road"
personal_fairyfly,"Vanilla, Rocky Road, Pistachio"
olericultural_americanalligator,"Vanilla, Pistachio, Strawberry"
empiristic_yellowlegs,"Chocolate, Fudge, Mocha"
polymorphonuclear_alleycat,"Vanilla, Fudge, Mocha"
rough_flickertailsquirrel,"Chocolate, Pistachio, Fudge"
expensive_orangutan,"Chocolate, Fudge, Mocha"
wispy_dutchsmoushond,"Chocolate, Rocky Road, Mocha"
protective_adouri,"Vanilla, Strawberry, Fudge"
spectacular_atlasmoth,"Chocolate, Fudge, Pistachio"
preliterary_littlenightmonkeys,"Chocolate, Fudge, Mocha"
tabarded_warbler,"Chocolate, Strawberry, Fudge"
wornout_pittabird,"Vanilla, Rocky Road, Mocha"
farseeing_woodchuck,"Chocolate, Fudge, Pistachio"
veryblue_halibut,"Vanilla, Fudge, Rocky Road"
former_elephantseal,"Vanilla, Pistachio, Strawberry"
heartstricken_wolfspider,"Vanilla, Fudge, Rocky Road"
ambisyllabic_dikkops,"Vanilla, Strawberry, Mocha"
super_adamsstaghornedbeetle,"Vanilla, Pistachio, Rocky Road"
semirebellious_waxwing,"Vanilla, Mocha, Fudge"
highfaluting_rattlesnake,"Chocolate, Pistachio, Rocky Road"
homeopathic_angwantibo,"Vanilla, Fudge, Rocky Road"
checkered_banteng,"Vanilla, Fudge, Rocky Road"
effusive_redpoll,"Vanilla, Pistachio, Mocha"
exploitative_hydatidtapeworm,"Chocolate, Strawberry, Pistachio"
unexperimental_tadpole,"Chocolate, Mocha, Rocky Road"
matricidal_manatee,"Chocolate, Rocky Road, Mocha"
adorable_redheadedwoodpecker,"Chocolate, Mocha, Fudge"
effigial_pronghorn,"Chocolate, Strawberry, Mocha"
wroughtiron_emeraldtreeskink,"Vanilla, Rocky Road, Fudge"
preggers_genet,"Chocolate, Rocky Road, Strawberry"
unwealthy_americanwirehair,"Vanilla, Mocha, Pistachio"
disastrous_adouri,"Chocolate, Fudge, Pistachio"
piperaceous_xiphosuran,"Vanilla, Pistachio, Strawberry"
skeletonlike_tegus,"Vanilla, Pistachio, Fudge"
paleobiological_ichthyosaurs,"Vanilla, Mocha, Rocky Road"
attentive_europeanpolecat,"Vanilla, Mocha, Pistachio"
unhumanitarian_albatross,"Chocolate, Mocha, Fudge"
touristy_killifish,"Vanilla, Rocky Road, Pistachio"
nondeadly_dikkops,"Chocolate, Pistachio, Mocha"
floristic_agama,"Chocolate, Rocky Road, Fudge"
bloodsucking_myna,"Chocolate, Rocky Road, Mocha"
nonzoologic_ambushbug,"Vanilla, Rocky Road, Mocha"
demented_hound,"Vanilla, Mocha, Strawberry"
lyrical_catfish,"Chocolate, Rocky Road, Strawberry"
erasable_mongoose,"Vanilla, Fudge, Rocky Road"
uncreative_rodent,"Vanilla, Mocha, Pistachio"
unfoolish_plover,"Vanilla, Strawberry, Pistachio"
gorgeable_ringtailedlemur,"Vanilla, Rocky Road, Fudge"
pseudoreligious_wallaby,"Chocolate, Mocha, Fudge"
hexametral_swellfish,"Chocolate, Fudge, Rocky Road"
lemuroid_martin,"Chocolate, Pistachio, Strawberry"
aphidian_easteuropeanshepherd,"Chocolate, Fudge, Rocky Road"
semimagical_shark,"Chocolate, Pistachio, Rocky Road"
retired_betafish,"Vanilla, Mocha, Pistachio"
rejoiceful_mustang,"Vanilla, Fudge, Pistachio"
plaid_thrasher,"Vanilla, Fudge, Rocky Road"
hemihedral_aquaticleech,"Vanilla, Pistachio, Rocky Road"
microbic_argusfish,"Chocolate, Fudge, Pistachio"
overparticular_polyp,"Vanilla, Fudge, Pistachio"
gigantic_rhino,"Vanilla, Fudge, Pistachio"
dovish_longhornbeetle,"Chocolate, Strawberry, Mocha"
taxidermal_atlanticridleyturtle,"Chocolate, Strawberry, Pistachio"
solidifiable_douglasfirbarkbeetle,"Vanilla, Fudge, Mocha"
nonspinal_massospondylus,"Vanilla, Pistachio, Rocky Road"
semidry_xantusmurrelet,"Vanilla, Fudge, Rocky Road"
conspiratorial_rainbowlorikeet,"Vanilla, Mocha, Pistachio"
earthly_beagle,"Vanilla, Fudge, Mocha"
edgy_irishdraughthorse,"Vanilla, Rocky Road, Fudge"
pseudopsychological_goldenmantledgroundsquirrel,"Vanilla, Rocky Road, Mocha"
prophesiable_xuanhuaceratops,"Vanilla, Strawberry, Fudge"
robust_equestrian,"Vanilla, Pistachio, Strawberry"
pixyish_pupfish,"Chocolate, Strawberry, Rocky Road"
leftist_waxwing,"Chocolate, Rocky Road, Pistachio"
conscious_gerbil,"Vanilla, Strawberry, Mocha"
selenium_addax,"Vanilla, Pistachio, Fudge"
cosmographical_teledu,"Chocolate, Strawberry, Rocky Road"
contortioned_python,"Vanilla, Strawberry, Fudge"
hessian_velvetcrab,"Vanilla, Pistachio, Fudge"
ultratropical_hart,"Chocolate, Pistachio, Fudge"
hexahedral_hen,"Vanilla, Strawberry, Rocky Road"
nonagrarian_hochstettersfrog,"Chocolate, Fudge, Rocky Road"
revered_ibisbill,"Vanilla, Pistachio, Rocky Road"
thinnish_tayra,"Chocolate, Strawberry, Rocky Road"
tenuous_tuna,"Vanilla, Pistachio, Mocha"
antimonarchy_kingfisher,"Vanilla, Rocky Road, Pistachio"
remittable_mara,"Chocolate, Strawberry, Mocha"
cottony_dorking,"Chocolate, Pistachio, Strawberry"
ammonitoid_bichonfrise,"Chocolate, Mocha, Fudge"
squirrellike_bergerpicard,"Vanilla, Fudge, Strawberry"
ondontophobic_spoonbill,"Vanilla, Pistachio, Mocha"
mega_atlanticsharpnosepuffer,"Chocolate, Strawberry, Pistachio"
wedded_africanharrierhawk,"Vanilla, Strawberry, Pistachio"
holohedral_kissingbug,"Vanilla, Fudge, Mocha"
indigenous_dobermanpinscher,"Chocolate, Pistachio, Mocha"
botchy_nettlefish,"Vanilla, Fudge, Pistachio"
revolutionary_lobster,"Vanilla, Pistachio, Rocky Road"
proabolition_garpike,"Chocolate, Fudge, Pistachio"
departmental_arabianoryx,"Vanilla, Fudge, Pistachio"
adorable_icelandichorse,"Vanilla, Rocky Road, Strawberry"
enraged_harpyeagle,"Vanilla, Strawberry, Pistachio"
deferable_oryx,"Chocolate, Pistachio, Strawberry"
operose_turnstone,"Vanilla, Strawberry, Pistachio"
taupe_monkfish,"Chocolate, Pistachio, Mocha"
nonprophetical_honeybee,"Vanilla, Fudge, Rocky Road"
armourclad_puppy,"Chocolate, Strawberry, Fudge"
curdy_woollybearcaterpillar,"Chocolate, Mocha, Fudge"
iced_queenant,"Vanilla, Rocky Road, Mocha"
sacrilegious_halibut,"Chocolate, Rocky Road, Pistachio"
ratlike_barnowl,"Vanilla, Pistachio, Mocha"
consecutive_titi,"Chocolate, Mocha, Strawberry"
duskish_siberiantiger,"Chocolate, Fudge, Strawberry"
disinherited_mullet,"Vanilla, Rocky Road, Fudge"
judgmental_xuanhanosaurus,"Vanilla, Mocha, Strawberry"
intense_ibadanmalimbe,"Vanilla, Mocha, Fudge"
carboniferous_frenchbulldog,"Chocolate, Strawberry, Pistachio"
centrifugal_hapuka,"Chocolate, Mocha, Fudge"
deathlike_germanspaniel,"Vanilla, Fudge, Pistachio"
compatriotic_grayling,"Vanilla, Rocky Road, Fudge"
elaborate_seaslug,"Chocolate, Rocky Road, Strawberry"
floaty_quail,"Chocolate, Rocky Road, Fudge"
gymnastic_southernhairnosedwombat,"Chocolate, Rocky Road, Fudge"
tragic_hypsilophodon,"Vanilla, Rocky Road, Strawberry"
uninspired_sugarglider,"Chocolate, Fudge, Pistachio"
scarred_atlanticblackgoby,"Chocolate, Fudge, Rocky Road"
mousey_commongonolek,"Vanilla, Rocky Road, Strawberry"
hated_argusfish,"Vanilla, Pistachio, Mocha"
amethyst_grayreefshark,"Vanilla, Rocky Road, Mocha"
destructive_crossbill,"Chocolate, Mocha, Pistachio"
shaven_imperialeagle,"Vanilla, Rocky Road, Strawberry"
clumpish_halibut,"Vanilla, Pistachio, Strawberry"
semiintellectual_springbok,"Vanilla, Mocha, Fudge"
uncategorised_imperatorangel,"Vanilla, Rocky Road, Fudge"
windy_ankolewatusi,"Chocolate, Rocky Road, Pistachio"
finicky_manxcat,"Vanilla, Rocky Road, Strawberry"
priceless_quokka,"Chocolate, Strawberry, Rocky Road"
pyrocrystalline_newfoundlanddog,"Chocolate, Pistachio, Strawberry"
chiasmic_pullet,"Chocolate, Pistachio, Rocky Road"
polarized_pacificparrotlet,"Chocolate, Pistachio, Rocky Road"
biodegradable_queenconch,"Chocolate, Pistachio, Mocha"
aviophobic_iberianmole,"Chocolate, Strawberry, Fudge"
dapper_iridescentshark,"Chocolate, Mocha, Pistachio"
wearable_cockroach,"Chocolate, Rocky Road, Mocha"
metapsychological_northernfurseal,"Vanilla, Mocha, Pistachio"
epidemic_vervet,"Vanilla, Rocky Road, Pistachio"
disputable_perch,"Chocolate, Mocha, Fudge"
strong_tigershark,"Chocolate, Fudge, Rocky Road"
autophobic_karakul,"Chocolate, Fudge, Pistachio"
anticlimactic_gonolek,"Vanilla, Strawberry, Rocky Road"
anecdotal_ammonite,"Chocolate, Fudge, Mocha"
illaffected_mudpuppy,"Chocolate, Strawberry, Mocha"
coyish_finwhale,"Chocolate, Fudge, Mocha"
